pair_id,component_type,candidate_label,candidate_definition,target_label,target_definition,expected_band,rationale
1,obligations,Adversarial Circumstance Non-Justification for Selective Reporting Obligation,"Duty of a licensed professional engineer to recognize and act upon the principle that the adversarial nature of a legal, quasi-legal, or dispute-resolution proceeding does not justify, excuse, or mitigate selective use of technical facts in professional reports - regardless of whether the selective reporting was consciously motivated by the adversarial circumstance - recognizing that the ethical prohibition on selective omission of material technical facts applies with equal force in adversarial and non-adversarial contexts, and that the engineer's professional obligations are not diminished by the adversarial setting of the engagement.",Adversarial Context Report Completeness and Non-Selectivity Obligation,"Duty of a licensed professional engineer retained in an adversarial legal or quasi-legal proceeding to produce reports and technical opinions that are complete, non-selective, and include all material findings - including findings that are favorable to the opposing party or adverse to the retaining client's litigation position - recognizing that the adversarial context of the engagement does not diminish the engineer's professional obligation to objectivity and completeness, and that selective omission of material findings to advantage the retaining client constitutes a violation of professional ethics regardless of the adversarial nature of the proceeding.",same,Both: in an adversarial proceeding the engineer must report completely and not selectively.
2,obligations,AI-Assisted Design Comprehensive Verification Obligation,"Duty of a licensed engineer in responsible charge to conduct a comprehensive, technically substantive verification of AI-generated engineering design documents - including plans, dimensions, specifications, and safety features - at least equivalent to the scrutiny applied to human-prepared work, before affixing a professional seal or delivering those documents to a client or public authority, with particular attention to regulatory compliance and safety-critical elements.",AI-Generated Work Product Competence Verification Obligation,"Duty of a licensed engineer who uses AI tools to generate professional work product to possess sufficient understanding of the AI tool's capabilities, limitations, and failure modes to critically evaluate and verify the accuracy, completeness, and regulatory compliance of all AI-generated output before submitting it under the engineer's professional seal or delivering it to a client.",same,Both: duty to competently verify AI-generated engineering work product before relying on it.
3,obligations,Active Project Declination During Employment Before Independent Departure Obligation,"Duty of a licensed professional engineer who, while still employed by a firm, is approached by the employer's client with an offer of independent work, to decline participation in that active project before departing - recognizing that accepting client work independently while still employed would constitute a direct breach of the faithful agent duty to the employer, and that the ethical path requires the engineer to either remain fully committed to the employer's interests during employment or to formally depart before accepting independent engagements from the employer's clients.",Active-Employment Private Contract Conclusion Prohibition Obligation,"Duty of a licensed professional engineer who is still actively employed by a public agency to refrain from concluding - not merely discussing or planning, but actually finalizing - binding private contracts, joint venture agreements, or corporate formations for work directly related to projects within the engineer's public agency responsibilities, recognizing that: (1) concluding binding private arrangements while still employed crosses the threshold from permissible career planning to an active breach of the faithful agent duty; (2) the engineer's public employer is entitled to the engineer's undivided loyalty until the employment relationship is formally terminated; and (3) the timing of resignation immediately after concluding private negotiations does not retroactively cure the breach that occurred during active employment.",same,Both: do not secure/conclude private work while still employed by the current employer.
4,capabilities,AI Disclosure and Transparency Capability,"Capability to recognize when and how to disclose the use of AI tools in the generation of professional work product, including understanding applicable professional codes, client expectations, and regulatory requirements regarding AI tool disclosure, and to accurately represent the intellectual provenance and authorship of AI-assisted deliverables to clients, employers, and other stakeholders.",AI Tool Scope Calibration Capability,"Capability to correctly calibrate the appropriate scope and depth of review required when AI tools substantially contribute to professional work product, recognizing that AI-generated technical work requires at least the same level of scrutiny as human-created work, and that a 'high-level review' is insufficient when AI tools may introduce dimensional errors, omit safety features, or fail to incorporate regulatory requirements - and to adjust review intensity accordingly before sealing or submitting deliverables.",same,PLACEHOLDER-VERIFY: both about governing appropriate AI-tool use disclosure/scope.
5,constraints,AI Attribution and Credit Disclosure Constraint,"Ethical and professional constraint requiring that engineers provide appropriate attribution and citation when AI tools substantially contribute to professional work product, arising from the professional obligation to give credit for engineering work to those to whom credit is due, and prohibiting submission of AI-generated content without acknowledgment of the AI's substantive role in shaping the work product.",AI-Generated Work Product Disclosure Constraint,"Ethical and professional constraint requiring that engineers disclose to clients, employers, and relevant stakeholders when AI tools have been used to generate substantive professional work product, prohibiting submission of AI-generated content without attribution when such non-disclosure creates a misleading impression of independent professional authorship.",same,Both: constraint requiring disclosure of AI involvement in the work product.
6,obligations,ADA-Protected Condition Non-Disclosure Non-Deception Compliance Obligation,"Obligation of a licensed professional engineer who has not disclosed a personal condition protected under the Americans with Disabilities Act (ADA) to current or prior employers to recognize that such non-disclosure does not constitute a 'deceptive act' under the NSPE Code of Ethics, provided the engineer has not made any affirmative misrepresentation about the condition and has demonstrated competent professional performance throughout the period of non-disclosure. The obligation is to correctly characterize the ethical status of the silence - i.e., to neither falsely claim an obligation to disclose nor to treat the non-disclosure as an ethical violation - and to refrain from making affirmative misrepresentations about the condition if directly and specifically asked.",ADA-Protected Condition Non-Discrimination Employer Dignity Obligation,"Obligation of an engineering employer and of engineers in supervisory or managerial roles to treat all engineers - including those with ADA-protected conditions such as autism spectrum disorder - with dignity, respect, fairness, and without discrimination, recognizing that the NSPE Code of Ethics Section III.1.f explicitly requires non-discriminatory treatment of all persons in professional activities. This obligation is triggered when an engineer's ADA-protected condition becomes known to the employer, and prohibits adverse employment action, client-interaction restrictions, or career limitations based on bias or unfounded assumptions about the engineer's capabilities, particularly when the engineer's actual performance record demonstrates sustained competence.",variant,"Same ADA-protected-condition topic; one is non-deception, the other non-discrimination/dignity."
7,roles,Affected Property Owner Stakeholder,"A stakeholder role filled by private property owners whose properties experience flooding or other adverse impacts attributable to nearby development activities, establishing obligations for engineers to consider downstream and adjacent impacts in design, and generating standing to raise complaints about design adequacy and conflicts of interest.",Adjacent Third-Party Property Owner Stakeholder,"A stakeholder role filled by a property owner whose property and associated construction activities are adjacent to a project being observed by an engineer, where the property owner has no direct contractual or professional relationship with the observing engineer, their firm, or the engineer's client, but whose workers or property may be subject to safety risks observable by the engineer during the course of their contracted work.",same,Both: a property-owner stakeholder affected by the engineer's work.
8,resources,AI Software Usage Disclosure Standard,"Emerging professional norms and guidelines governing the disclosure of artificial intelligence tools used in the generation of professional work products, including reports and engineering design documents",As-Built Drawing Disclosure Standard,"Professional norms and ethical obligations governing the conditions under which engineers in public-sector roles may or must disclose existing as-built drawings, record drawings, or construction documentation to contractors and bidders, including the timing of disclosure relative to bid advertisement, contract award, and project execution, and the equity and fairness implications of selective or post-award disclosure.",variant,"Both disclosure standards, but different subject matter (AI usage vs as-built drawings)."
9,obligations,AI Tool Disclosure Obligation,"Duty of a licensed engineer to disclose to clients, employers, and relevant stakeholders when artificial intelligence tools have been used in the generation of professional deliverables, including reports, design documents, or other work product submitted under the engineer's professional seal, so that recipients can appropriately evaluate the nature and provenance of the work.",AI Tool Attribution and Citation Obligation,"Duty of a licensed engineer who uses AI tools to generate professional work product to provide appropriate attribution to AI contributions and to ensure that AI-generated reports and documents include citations to pertinent documents of technical authority, so that the intellectual provenance of the work is accurately represented and professional standards of documentation are maintained.",variant,Same AI-tool transparency family; disclosure of use vs attribution/citation are distinct duties.
10,capabilities,AI Attribution and Citation Capability,"Capability to recognize when AI tools have made substantial contributions to professional work product and to provide appropriate attribution and citation - including citations to pertinent documents of technical authority - in accordance with professional codes requiring credit to be given for engineering work, and to distinguish between AI contributions that require disclosure and citation versus minor editorial assistance.",AI Disclosure and Transparency Capability,"Capability to recognize when and how to disclose the use of AI tools in the generation of professional work product, including understanding applicable professional codes, client expectations, and regulatory requirements regarding AI tool disclosure, and to accurately represent the intellectual provenance and authorship of AI-assisted deliverables to clients, employers, and other stakeholders.",variant,Same AI-tool family; attribution vs disclosure are distinct competencies.
11,capabilities,AI Output Verification Capability,"Technical capability to conduct substantive, domain-informed review and verification of AI-generated professional work product - including reports, design documents, plans, and specifications - sufficient to detect factual inaccuracies, hallucinated content, misaligned dimensions, omitted regulatory requirements, and other errors that AI tools may introduce, going beyond superficial or cursory review to ensure the output meets professional and regulatory standards.",AI Tool Competence Assessment Capability,"Capability to evaluate one's own level of familiarity and competence with a novel AI tool before relying on it to generate professional work product, including understanding the tool's functionality, limitations, accuracy characteristics, and potential failure modes, and to make an informed judgment about whether sufficient competence exists to use the tool responsibly in a professional context.",variant,Both AI-competence family; verifying output vs assessing one's own tool competence.
12,constraints,AI Tool Competence Boundary Constraint,"Constraint arising from a professional's lack of prior experience or verified understanding of an AI tool's functionality, accuracy, and limitations, which restricts the degree to which that tool's outputs may be relied upon without independent substantive verification before professional use or submission.",AI Tool Direction and Control Constraint,"Regulatory and ethical constraint requiring that a licensed engineer maintain active direction and control over AI-generated work product - including outlining solution guidelines, challenging outputs, and engaging in critical review - such that the AI tool functions as a subordinate instrument rather than an autonomous decision-maker, prohibiting passive acceptance of AI outputs as a substitute for independent engineering judgment.",variant,Same AI-tool-governance family; competence boundary vs direction/control are distinct limits.
13,constraints,ADA-Protected Condition Ethics Code Deception Non-Application Constraint,"Legal and ethical constraint establishing that the NSPE Code of Ethics deception provisions do not apply to an engineer's non-disclosure of a personal condition that is affirmatively protected under the Americans with Disabilities Act - because the ADA establishes a legal right to non-disclosure of disability status, and because applying the ethics code's deception provisions to compel disclosure of ADA-protected conditions would conflict with federal law and give the Code an unintended and impermissibly broad scope - constraining ethics reviewers, employers, and professional bodies from characterizing an engineer's exercise of ADA-protected privacy rights as an ethical violation under the NSPE Code.",ADA-Protected Condition Voluntary Disclosure Non-Compulsion Constraint,"Legal and ethical constraint establishing that a professional engineer with a disability or medical condition protected under the Americans with Disabilities Act (ADA) is not legally or ethically compelled to disclose that condition to current or prospective employers - because the ADA affirmatively protects the right to non-disclosure of disability status, and because non-disclosure of a legally protected personal characteristic does not constitute a 'deceptive act' under the NSPE Code of Ethics absent a specific employer inquiry or a context in which the condition is directly material to the engineer's ability to perform the essential functions of the role - prohibiting the characterization of disability non-disclosure as an ethical violation when the engineer has demonstrated competent performance throughout the period of non-disclosure.",variant,Same ADA topic; non-application-of-deception vs non-compulsion-of-disclosure are distinct.
14,obligations,Active Project Declination During Employment Before Independent Departure Obligation,"Duty of a licensed professional engineer who, while still employed by a firm, is approached by the employer's client with an offer of independent work, to decline participation in that active project before departing - recognizing that accepting client work independently while still employed would constitute a direct breach of the faithful agent duty to the employer, and that the ethical path requires the engineer to either remain fully committed to the employer's interests during employment or to formally depart before accepting independent engagements from the employer's clients.",AE Firm Incumbent Advantage Non-Exploitation Obligation,"Duty of a private AE firm that recruits a former senior public official who held contracting authority over the firm to refrain from exploiting the incumbent advantage created by that recruitment - including refraining from using the former official's insider knowledge, relationships, or prior authority to gain preferential access to public contracts - and to ensure that all proposals submitted to the former official's public employer are evaluated solely on technical merit through fair competitive processes.",variant,Both conflict-of-interest/loyalty family; pre-departure declination vs incumbent-advantage exploitation.
15,principles,Adversarial Context Non-Exemption from Professional Standards,"Professional principle establishing that the adversarial nature of a legal, quasi-legal, or dispute-resolution proceeding does not create an exemption from, or a relaxed standard of, professional engineering ethics - the same duties of completeness, objectivity, diligent fact-gathering, and truthful reporting that apply in non-adversarial engineering practice apply with equal force in adversarial contexts, and selective or partisan use of technical data constitutes an egregious violation of professional duty regardless of the legal setting.",Adversarial Engagement Objectivity Obligation,"Professional principle requiring engineers retained in adversarial legal or quasi-legal proceedings to maintain the same standard of objectivity, completeness, and factual grounding in their technical reports and opinions as they would in non-adversarial contexts - prohibiting the selective omission of material technical findings that would favor the opposing party, even when the retaining client's litigation interests would be served by such omission, and recognizing that the engineer's duty to the profession and to truthful technical reporting is not subordinated by the adversarial nature of the engagement.",variant,Same adversarial-engagement family; non-exemption-from-standards vs objectivity duty.
16,obligations,Adjacent Third-Party Property Safety Disclosure Obligation,"Duty of a licensed professional engineer who, while performing contracted construction observation services for one client, incidentally observes potential safety issues arising from subcontractor work on an adjacent property belonging to a third party with whom neither the engineer, the engineer's employer, nor the client has any direct relationship, to disclose those observed safety concerns to appropriate parties - at minimum the employer/prime consultant, and potentially the adjacent property owner directly - so that corrective action can be taken before harm occurs, notwithstanding the complete absence of any contractual nexus with the affected third party.",Actionable Bracing Remedial Guidance to Building Owner Obligation,"Duty of a licensed professional engineer who identifies a structural safety deficiency - specifically a risk of roof sag and wall lean due to insufficient lateral restraint - to provide the property owner with specific, actionable remedial guidance (such as recommending bracing to prevent collapse) rather than merely disclosing the existence of the risk, so that the owner has the information necessary to take protective action before harm occurs.",variant,Both third-party safety family; disclosure to adjacent owner vs remedial bracing guidance.
17,obligations,AI Tool Disclosure Obligation,"Duty of a licensed engineer to disclose to clients, employers, and relevant stakeholders when artificial intelligence tools have been used in the generation of professional deliverables, including reports, design documents, or other work product submitted under the engineer's professional seal, so that recipients can appropriately evaluate the nature and provenance of the work.",100-Year Storm Surge Design Standard Recommendation Obligation,"Duty of a licensed professional engineer who has determined, based on newly released climate data and a recently developed modeling algorithm, that a residential development project should be built to a 100-year projected storm surge elevation to protect public safety, to formally recommend that standard to the client in writing - including the scientific and professional basis for the recommendation - even when the client refuses to accept the increased cost, so that the client has clear documented notice of the engineer's professional judgment and the public safety rationale.",unrelated,AI-tool transparency vs storm-surge design standard: different topics.
18,obligations,Adversarial Context Report Completeness and Non-Selectivity Obligation,"Duty of a licensed professional engineer retained in an adversarial legal or quasi-legal proceeding to produce reports and technical opinions that are complete, non-selective, and include all material findings - including findings that are favorable to the opposing party or adverse to the retaining client's litigation position - recognizing that the adversarial context of the engagement does not diminish the engineer's professional obligation to objectivity and completeness, and that selective omission of material findings to advantage the retaining client constitutes a violation of professional ethics regardless of the adversarial nature of the proceeding.",Adjacent Third-Party Property Safety Disclosure Obligation,"Duty of a licensed professional engineer who, while performing contracted construction observation services for one client, incidentally observes potential safety issues arising from subcontractor work on an adjacent property belonging to a third party with whom neither the engineer, the engineer's employer, nor the client has any direct relationship, to disclose those observed safety concerns to appropriate parties - at minimum the employer/prime consultant, and potentially the adjacent property owner directly - so that corrective action can be taken before harm occurs, notwithstanding the complete absence of any contractual nexus with the affected third party.",unrelated,Adversarial reporting completeness vs adjacent-property safety disclosure: different topics.
19,obligations,AI Tool Attribution and Citation Obligation,"Duty of a licensed engineer who uses AI tools to generate professional work product to provide appropriate attribution to AI contributions and to ensure that AI-generated reports and documents include citations to pertinent documents of technical authority, so that the intellectual provenance of the work is accurately represented and professional standards of documentation are maintained.",Absolute Loyalty Non-Extension to Former Client Adverse Engagement Obligation,"Duty of a licensed professional engineer to recognize and act upon the recognition that the faithful agent and trustee obligation owed to a former client does not create a duty of absolute devotion in perpetuity - specifically, that the engineer is not ethically prohibited from accepting engagements adverse to a former client's interests in matters entirely unrelated to prior services, provided no confidential information from the prior engagement is implicated, and that treating such engagements as categorically prohibited would impractically compromise the engineer's professional autonomy and independent judgment.",unrelated,AI attribution vs former-client loyalty: different topics.
20,capabilities,AI Output Verification Capability,"Technical capability to conduct substantive, domain-informed review and verification of AI-generated professional work product - including reports, design documents, plans, and specifications - sufficient to detect factual inaccuracies, hallucinated content, misaligned dimensions, omitted regulatory requirements, and other errors that AI tools may introduce, going beyond superficial or cursory review to ensure the output meets professional and regulatory standards.",ADA Non-Discrimination Dignity Provision Application Capability,"Capability of an engineering employer, engineer in a supervisory role, or ethics reviewing body to recognize and apply NSPE Code Section III.1.f - requiring that engineers treat all persons with dignity, respect, fairness, and without discrimination - to situations involving engineers with ADA-protected conditions, including the ability to identify when an employer's adverse reaction to disability disclosure would constitute a violation of this provision, and to understand that the ADA protection of a condition reinforces the engineer's right not to disclose it without ethical penalty.",unrelated,AI output verification vs ADA non-discrimination application: different topics.
21,constraints,AI Tool Direction and Control Constraint,"Regulatory and ethical constraint requiring that a licensed engineer maintain active direction and control over AI-generated work product - including outlining solution guidelines, challenging outputs, and engaging in critical review - such that the AI tool functions as a subordinate instrument rather than an autonomous decision-maker, prohibiting passive acceptance of AI outputs as a substitute for independent engineering judgment.",ADA-Protected Condition Voluntary Disclosure Non-Compulsion Constraint,"Legal and ethical constraint establishing that a professional engineer with a disability or medical condition protected under the Americans with Disabilities Act (ADA) is not legally or ethically compelled to disclose that condition to current or prospective employers - because the ADA affirmatively protects the right to non-disclosure of disability status, and because non-disclosure of a legally protected personal characteristic does not constitute a 'deceptive act' under the NSPE Code of Ethics absent a specific employer inquiry or a context in which the condition is directly material to the engineer's ability to perform the essential functions of the role - prohibiting the characterization of disability non-disclosure as an ethical violation when the engineer has demonstrated competent performance throughout the period of non-disclosure.",unrelated,AI tool control vs ADA disclosure non-compulsion: different topics.
22,obligations,100-Year Storm Surge Design Standard Recommendation Obligation,"Duty of a licensed professional engineer who has determined, based on newly released climate data and a recently developed modeling algorithm, that a residential development project should be built to a 100-year projected storm surge elevation to protect public safety, to formally recommend that standard to the client in writing - including the scientific and professional basis for the recommendation - even when the client refuses to accept the increased cost, so that the client has clear documented notice of the engineer's professional judgment and the public safety rationale.",Active-Employment Private Contract Conclusion Prohibition Obligation,"Duty of a licensed professional engineer who is still actively employed by a public agency to refrain from concluding - not merely discussing or planning, but actually finalizing - binding private contracts, joint venture agreements, or corporate formations for work directly related to projects within the engineer's public agency responsibilities, recognizing that: (1) concluding binding private arrangements while still employed crosses the threshold from permissible career planning to an active breach of the faithful agent duty; (2) the engineer's public employer is entitled to the engineer's undivided loyalty until the employment relationship is formally terminated; and (3) the timing of resignation immediately after concluding private negotiations does not retroactively cure the breach that occurred during active employment.",unrelated,Storm-surge design standard vs employment-period private-contract prohibition: different topics.
23,obligations,ADA-Protected Condition Non-Discrimination Employer Dignity Obligation,"Obligation of an engineering employer and of engineers in supervisory or managerial roles to treat all engineers - including those with ADA-protected conditions such as autism spectrum disorder - with dignity, respect, fairness, and without discrimination, recognizing that the NSPE Code of Ethics Section III.1.f explicitly requires non-discriminatory treatment of all persons in professional activities. This obligation is triggered when an engineer's ADA-protected condition becomes known to the employer, and prohibits adverse employment action, client-interaction restrictions, or career limitations based on bias or unfounded assumptions about the engineer's capabilities, particularly when the engineer's actual performance record demonstrates sustained competence.",Accelerated Timeline Public Health Risk Objection Obligation,"Duty of a licensed professional engineer who has determined that a proposed accelerated schedule for a public infrastructure change poses material public health risks - specifically by compressing or eliminating a required evaluation and construction period for protective measures - to formally object to and document opposition to the accelerated timeline, and to communicate to the decision-making authority the specific public health consequences of proceeding on the compressed schedule before that authority votes to proceed.",unrelated,ADA non-discrimination vs accelerated-timeline public-health-risk objection: different topics.
24,capabilities,AI Tool Competence Assessment Capability,"Capability to evaluate one's own level of familiarity and competence with a novel AI tool before relying on it to generate professional work product, including understanding the tool's functionality, limitations, accuracy characteristics, and potential failure modes, and to make an informed judgment about whether sufficient competence exists to use the tool responsibly in a professional context.",ADA-Protected Condition Non-Disclosure Non-Deception Distinction Capability,"Capability of a licensed professional engineer to correctly recognize that non-disclosure of a personal condition protected under the Americans with Disabilities Act - such as autism or Asperger's Syndrome - does not constitute a 'deceptive act' under professional codes of ethics, provided the engineer has not made any affirmative false statement about the condition, and to distinguish between the ethical obligation to avoid active deception and the absence of any affirmative duty to volunteer protected personal health information to employers or clients.",unrelated,AI tool competence vs ADA non-deception distinction: different topics.
